Employee_ID,Department_ID,Role_ID,Education_ID,Age,Job_Tenure,Distance_From_Home,Training_Hours,Performance_Rating,Last_Promotion_Year,Years_Since_Promotion,Work_Life_Balance,Job_Satisfaction,Exit_Interview_Score,Attrition_Risk_Score,Attrition_Flag,Salary_Band,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Risk_Segment,Performance_Category,Satisfaction_Category,WLB_Category,Exit_Score_Category,Gender_Clean,Marital_Status
251,3,2,3,47,6,19,163,3,2017,7,3,5,,2.038,0,Band 2 – Mid-Low,6–10 yrs,46–55,Medium (11–25 km),6–8 yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Male,Divorced
252,5,5,3,29,7,18,20,3,2012,12,3,5,,2.286,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),9–12 yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Non-Binary / Other,Single
253,5,6,1,23,3,28,148,5,2023,1,1,1,5.0,3.056,1,Band 2 – Mid-Low,3–5 yrs,18–25,Far (26–50 km),0–2 yrs,High Risk,Outstanding,Very Low,Very Poor,Low Dissatisfaction,Non-Binary / Other,Single
254,4,3,1,37,13,34,147,4,2013,11,5,5,,1.568,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Low Risk,Good,Very High,Excellent,N/A (Still Employed),Male,Divorced
255,3,6,3,45,10,46,59,2,2023,1,3,3,,2.592,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Below Average,Neutral,Fair,N/A (Still Employed),Male,Married
256,2,2,3,53,7,15,11,4,2023,1,2,5,,1.78,0,Band 2 – Mid-Low,6–10 yrs,46–55,Medium (11–25 km),0–2 yrs,Low Risk,Good,Very High,Poor,N/A (Still Employed),Female,Divorced
257,6,1,3,60,8,20,135,1,2018,6,3,2,,3.29,0,Band 1 – Low,6–10 yrs,55+,Medium (11–25 km),6–8 yrs,High Risk,Needs Improvement,Low,Fair,N/A (Still Employed),Male,Divorced
258,3,5,3,50,10,41,16,3,2014,10,3,5,,2.232,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),9–12 yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Non-Binary / Other,Divorced
259,2,2,1,33,17,6,104,4,2023,1,4,2,,2.162,0,Band 4 – High,11–20 yrs,26–35,Near (≤10 km),0–2 yrs,Low Risk,Good,Low,Good,N/A (Still Employed),Male,Divorced
260,6,2,2,52,3,20,62,1,2019,5,1,3,,3.44,0,Band 1 – Low,3–5 yrs,46–55,Medium (11–25 km),3–5 yrs,High Risk,Needs Improvement,Neutral,Very Poor,N/A (Still Employed),Female,Single
261,6,1,2,59,15,27,82,5,2020,4,4,2,,2.154,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,Low,Good,N/A (Still Employed),Non-Binary / Other,Divorced
262,1,4,2,57,2,50,156,2,2017,7,3,1,4.0,3.5,0,Band 1 – Low,0–2 yrs,55+,Far (26–50 km),6–8 yrs,High Risk,Below Average,Very Low,Fair,Low Dissatisfaction,Female,Single
263,2,4,3,44,12,21,119,4,2023,1,3,2,,2.442,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,Medium Risk,Good,Low,Fair,N/A (Still Employed),Male,Divorced
264,6,2,1,44,17,6,197,2,2020,4,1,5,,2.562,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),3–5 yrs,Medium Risk,Below Average,Very High,Very Poor,N/A (Still Employed),Male,Single
265,5,5,2,32,1,41,123,2,2019,5,5,2,,2.582,0,Band 1 – Low,0–2 yrs,26–35,Far (26–50 km),3–5 yrs,Medium Risk,Below Average,Low,Excellent,N/A (Still Employed),Male,Married
266,1,6,3,38,6,6,143,3,2011,13,1,2,,3.712,0,Band 2 – Mid-Low,6–10 yrs,36–45,Near (≤10 km),12+ yrs,High Risk,Average,Low,Very Poor,N/A (Still Employed),Female,Single
267,1,1,2,27,11,5,42,5,2016,8,3,5,,1.66,0,Band 3 – Mid-High,11–20 yrs,26–35,Near (≤10 km),6–8 yrs,Low Risk,Outstanding,Very High,Fair,N/A (Still Employed),Male,Married
268,3,4,3,40,14,47,126,1,2012,12,1,5,,3.244,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Very High,Very Poor,N/A (Still Employed),Female,Married
269,5,2,3,23,13,16,85,5,2020,4,5,4,,1.282,0,Band 4 – High,11–20 yrs,18–25,Medium (11–25 km),3–5 yrs,Low Risk,Outstanding,High,Excellent,N/A (Still Employed),Female,Divorced
270,5,5,3,46,6,6,38,4,2010,14,4,2,,2.812,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),12+ yrs,Medium Risk,Good,Low,Good,N/A (Still Employed),Non-Binary / Other,Single
271,4,6,3,25,4,11,193,1,2012,12,2,3,,3.522,0,Band 1 – Low,3–5 yrs,18–25,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Poor,N/A (Still Employed),Male,Single
272,4,4,3,32,5,37,190,3,2012,12,2,1,4.0,3.774,1,Band 1 – Low,3–5 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Average,Very Low,Poor,Low Dissatisfaction,Female,Divorced
273,6,3,3,58,18,4,40,4,2023,1,1,4,,2.308,0,Band 4 – High,11–20 yrs,55+,Near (≤10 km),0–2 yrs,Low Risk,Good,High,Very Poor,N/A (Still Employed),Non-Binary / Other,Divorced
274,6,6,2,35,14,6,123,4,2021,3,5,3,,1.712,0,Band 4 – High,11–20 yrs,26–35,Near (≤10 km),3–5 yrs,Low Risk,Good,Neutral,Excellent,N/A (Still Employed),Female,Divorced
275,6,6,3,36,16,48,120,2,2020,4,1,4,,2.946,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Medium Risk,Below Average,High,Very Poor,N/A (Still Employed),Male,Married
276,3,2,3,36,3,19,136,1,2013,11,2,5,,2.888,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),9–12 yrs,Medium Risk,Needs Improvement,Very High,Poor,N/A (Still Employed),Male,Divorced
277,1,1,3,35,13,36,77,2,2012,12,2,4,,3.072,0,Band 3 – Mid-High,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Below Average,High,Poor,N/A (Still Employed),Female,Divorced
278,4,5,3,39,7,32,32,1,2018,6,4,4,2.0,2.464,0,Band 1 – Low,6–10 yrs,36–45,Far (26–50 km),6–8 yrs,Medium Risk,Needs Improvement,High,Good,High Dissatisfaction,Female,Single
279,2,2,1,48,5,1,45,4,2021,3,4,4,,1.652,0,Band 2 – Mid-Low,3–5 yrs,46–55,Near (≤10 km),3–5 yrs,Low Risk,Good,High,Good,N/A (Still Employed),Male,Married
280,4,4,3,54,7,28,81,3,2021,3,3,3,5.0,2.456,1,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),3–5 yrs,Medium Risk,Average,Neutral,Fair,Low Dissatisfaction,Non-Binary / Other,Married
281,1,2,3,23,10,44,197,3,2018,6,3,2,,2.938,0,Band 2 – Mid-Low,6–10 yrs,18–25,Far (26–50 km),6–8 yrs,Medium Risk,Average,Low,Fair,N/A (Still Employed),Male,Divorced
282,1,2,3,22,14,33,181,2,2013,11,4,3,,2.816,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,Medium Risk,Below Average,Neutral,Good,N/A (Still Employed),Female,Divorced
283,2,4,1,52,16,47,39,1,2017,7,5,1,,3.194,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Needs Improvement,Very Low,Excellent,N/A (Still Employed),Female,Single
284,3,3,1,30,6,9,100,2,2017,7,2,1,1.0,3.668,1,Band 1 – Low,6–10 yrs,26–35,Near (≤10 km),6–8 yrs,High Risk,Below Average,Very Low,Poor,High Dissatisfaction,Non-Binary / Other,Divorced
285,4,5,3,33,20,31,30,1,2014,10,5,3,,2.712,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,Medium Risk,Needs Improvement,Neutral,Excellent,N/A (Still Employed),Female,Single
286,6,6,3,60,19,32,200,3,2014,10,5,5,,1.714,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),9–12 yrs,Low Risk,Average,Very High,Excellent,N/A (Still Employed),Female,Divorced
287,5,6,3,22,10,33,66,4,2020,4,4,3,,2.066,0,Band 3 – Mid-High,6–10 yrs,18–25,Far (26–50 km),3–5 yrs,Low Risk,Good,Neutral,Good,N/A (Still Employed),Female,Married
288,3,6,3,36,19,44,196,1,2011,13,1,2,5.0,4.188,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),12+ yrs,High Risk,Needs Improvement,Low,Very Poor,Low Dissatisfaction,Female,Married
289,6,6,3,38,7,44,29,3,2019,5,1,5,,2.488,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),3–5 yrs,Medium Risk,Average,Very High,Very Poor,N/A (Still Employed),Male,Married
290,4,4,1,60,17,35,93,4,2017,7,3,5,,1.87,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),6–8 yrs,Low Risk,Good,Very High,Fair,N/A (Still Employed),Male,Divorced
291,2,6,3,41,15,45,50,4,2015,9,3,1,,3.19,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,High Risk,Good,Very Low,Fair,N/A (Still Employed),Female,Divorced
292,3,6,2,39,9,8,139,5,2020,4,1,1,,3.166,0,Band 3 – Mid-High,6–10 yrs,36–45,Near (≤10 km),3–5 yrs,High Risk,Outstanding,Very Low,Very Poor,N/A (Still Employed),Female,Single
293,4,2,3,49,7,26,95,2,2014,10,2,4,,2.952,0,Band 1 – Low,6–10 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Below Average,High,Poor,N/A (Still Employed),Female,Married
294,6,2,3,46,1,1,80,3,2016,8,5,2,,2.452,0,Band 1 – Low,0–2 yrs,46–55,Near (≤10 km),6–8 yrs,Medium Risk,Average,Low,Excellent,N/A (Still Employed),Female,Single
295,4,1,2,44,5,40,126,2,2016,8,1,2,4.0,3.73,0,Band 1 – Low,3–5 yrs,36–45,Far (26–50 km),6–8 yrs,High Risk,Below Average,Low,Very Poor,Low Dissatisfaction,Female,Divorced
296,5,2,3,51,15,13,171,1,2021,3,4,4,,2.276,0,Band 3 – Mid-High,11–20 yrs,46–55,Medium (11–25 km),3–5 yrs,Low Risk,Needs Improvement,High,Good,N/A (Still Employed),Female,Single
297,1,4,3,38,3,48,198,1,2022,2,5,2,,2.646,0,Band 1 – Low,3–5 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Needs Improvement,Low,Excellent,N/A (Still Employed),Male,Divorced
298,1,1,3,35,13,1,141,4,2011,13,1,2,,3.502,0,Band 3 – Mid-High,11–20 yrs,26–35,Near (≤10 km),12+ yrs,High Risk,Good,Low,Very Poor,N/A (Still Employed),Female,Married
299,4,2,3,51,20,46,182,3,2017,7,3,4,,2.392,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,Medium Risk,Average,High,Fair,N/A (Still Employed),Female,Divorced
300,6,4,3,41,8,28,28,3,2016,8,3,2,,3.006,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),6–8 yrs,High Risk,Average,Low,Fair,N/A (Still Employed),Male,Married
301,1,5,3,55,17,45,190,2,2023,1,4,4,,2.04,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Below Average,High,Good,N/A (Still Employed),Male,Single
302,4,5,2,47,11,35,186,2,2016,8,4,4,,2.37,0,Band 2 – Mid-Low,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,Medium Risk,Below Average,High,Good,N/A (Still Employed),Male,Single
303,4,2,3,59,19,48,90,3,2012,12,1,5,,2.846,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),9–12 yrs,Medium Risk,Average,Very High,Very Poor,N/A (Still Employed),Male,Divorced
304,5,5,3,28,16,23,19,4,2010,14,2,2,,3.346,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),12+ yrs,High Risk,Good,Low,Poor,N/A (Still Employed),Male,Divorced
305,6,2,3,22,15,16,120,4,2014,10,3,2,,2.882,0,Band 4 – High,11–20 yrs,18–25,Medium (11–25 km),9–12 yrs,Medium Risk,Good,Low,Fair,N/A (Still Employed),Male,Single
306,1,6,2,54,15,48,35,4,2017,7,1,3,,2.996,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Good,Neutral,Very Poor,N/A (Still Employed),Non-Binary / Other,Married
307,6,1,2,45,19,43,190,5,2011,13,4,1,,2.936,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),12+ yrs,Medium Risk,Outstanding,Very Low,Good,N/A (Still Employed),Female,Married
308,6,5,2,57,2,34,143,2,2019,5,1,2,2.0,3.568,1,Band 1 – Low,0–2 yrs,55+,Far (26–50 km),3–5 yrs,High Risk,Below Average,Low,Very Poor,High Dissatisfaction,Female,Divorced
309,5,1,3,60,3,44,91,4,2016,8,2,3,,2.788,0,Band 1 – Low,3–5 yrs,55+,Far (26–50 km),6–8 yrs,Medium Risk,Good,Neutral,Poor,N/A (Still Employed),Male,Married
310,6,1,3,60,10,39,58,3,2010,14,5,2,,2.828,0,Band 2 – Mid-Low,6–10 yrs,55+,Far (26–50 km),12+ yrs,Medium Risk,Average,Low,Excellent,N/A (Still Employed),Non-Binary / Other,Single
311,1,1,3,40,15,3,152,5,2019,5,3,4,,1.806,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),3–5 yrs,Low Risk,Outstanding,High,Fair,N/A (Still Employed),Female,Single
312,1,3,3,41,12,39,179,4,2014,10,3,1,4.0,3.228,1,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,High Risk,Good,Very Low,Fair,Low Dissatisfaction,Female,Divorced
313,3,4,3,28,10,29,170,1,2010,14,5,5,2.0,2.308,1,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),12+ yrs,Low Risk,Needs Improvement,Very High,Excellent,High Dissatisfaction,Female,Divorced
314,2,6,3,52,13,11,19,5,2020,4,5,2,,1.872,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),3–5 yrs,Low Risk,Outstanding,Low,Excellent,N/A (Still Employed),Female,Married
315,4,2,3,26,20,44,172,5,2020,4,5,2,,1.938,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,Low,Excellent,N/A (Still Employed),Female,Single
316,2,6,2,43,6,49,170,2,2024,0,2,4,1.0,2.498,0,Band 1 – Low,6–10 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Below Average,High,Poor,High Dissatisfaction,Female,Single
317,5,1,3,39,14,34,12,1,2020,4,1,2,,3.718,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,High Risk,Needs Improvement,Low,Very Poor,N/A (Still Employed),Male,Married
318,6,6,3,42,8,15,72,5,2019,5,3,3,,2.13,0,Band 3 – Mid-High,6–10 yrs,36–45,Medium (11–25 km),3–5 yrs,Low Risk,Outstanding,Neutral,Fair,N/A (Still Employed),Female,Divorced
319,3,2,3,39,6,12,45,5,2017,7,5,3,,1.724,0,Band 2 – Mid-Low,6–10 yrs,36–45,Medium (11–25 km),6–8 yrs,Low Risk,Outstanding,Neutral,Excellent,N/A (Still Employed),Male,Divorced
320,3,1,3,38,20,5,160,2,2010,14,4,1,,3.51,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),12+ yrs,High Risk,Below Average,Very Low,Good,N/A (Still Employed),Female,Divorced
321,5,4,1,41,14,24,106,3,2024,0,2,1,,3.148,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,High Risk,Average,Very Low,Poor,N/A (Still Employed),Female,Divorced
322,4,6,2,34,15,9,66,3,2024,0,4,5,,1.418,0,Band 3 – Mid-High,11–20 yrs,26–35,Near (≤10 km),0–2 yrs,Low Risk,Average,Very High,Good,N/A (Still Employed),Male,Divorced
323,4,5,3,31,13,33,182,1,2015,9,3,3,5.0,3.166,0,Band 2 – Mid-Low,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Fair,Low Dissatisfaction,Male,Divorced
324,2,2,1,55,6,23,60,2,2012,12,2,5,2.0,2.746,0,Band 1 – Low,6–10 yrs,46–55,Medium (11–25 km),9–12 yrs,Medium Risk,Below Average,Very High,Poor,High Dissatisfaction,Female,Divorced
325,2,3,3,37,19,4,77,4,2017,7,3,1,4.0,3.008,1,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),6–8 yrs,High Risk,Good,Very Low,Fair,Low Dissatisfaction,Female,Divorced
326,1,2,3,25,4,28,130,2,2024,0,5,5,,1.406,0,Band 1 – Low,3–5 yrs,18–25,Far (26–50 km),0–2 yrs,Low Risk,Below Average,Very High,Excellent,N/A (Still Employed),Female,Married
327,2,4,2,60,13,32,48,4,2021,3,1,4,,2.464,0,Band 3 – Mid-High,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Medium Risk,Good,High,Very Poor,N/A (Still Employed),Male,Single
328,2,6,1,47,2,25,134,3,2017,7,5,2,,2.45,0,Band 1 – Low,0–2 yrs,46–55,Medium (11–25 km),6–8 yrs,Medium Risk,Average,Low,Excellent,N/A (Still Employed),Female,Single
329,6,1,1,42,8,11,57,1,2014,10,4,4,,2.622,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,Medium Risk,Needs Improvement,High,Good,N/A (Still Employed),Male,Single
330,5,6,3,30,6,24,197,4,2010,14,2,3,,3.048,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),12+ yrs,High Risk,Good,Neutral,Poor,N/A (Still Employed),Male,Divorced
331,3,2,3,23,9,8,137,3,2012,12,3,1,,3.466,0,Band 2 – Mid-Low,6–10 yrs,18–25,Near (≤10 km),9–12 yrs,High Risk,Average,Very Low,Fair,N/A (Still Employed),Female,Divorced
332,2,4,1,53,18,22,82,5,2015,9,3,5,,1.744,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),9–12 yrs,Low Risk,Outstanding,Very High,Fair,N/A (Still Employed),Female,Divorced
333,1,1,3,40,10,44,43,1,2018,6,1,5,,2.938,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),6–8 yrs,Medium Risk,Needs Improvement,Very High,Very Poor,N/A (Still Employed),Female,Divorced
334,2,5,2,38,3,16,60,4,2023,1,4,4,,1.582,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),0–2 yrs,Low Risk,Good,High,Good,N/A (Still Employed),Female,Married
335,6,4,3,48,7,35,172,2,2023,1,2,2,,3.12,0,Band 1 – Low,6–10 yrs,46–55,Far (26–50 km),0–2 yrs,High Risk,Below Average,Low,Poor,N/A (Still Employed),Male,Divorced
336,4,3,1,47,16,50,32,4,2018,6,1,1,,3.55,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Good,Very Low,Very Poor,N/A (Still Employed),Female,Single
337,6,2,3,46,14,8,142,5,2013,11,4,3,,2.166,0,Band 4 – High,11–20 yrs,46–55,Near (≤10 km),9–12 yrs,Low Risk,Outstanding,Neutral,Good,N/A (Still Employed),Female,Divorced
338,1,4,3,24,18,19,195,1,2015,9,2,3,,3.388,0,Band 3 – Mid-High,11–20 yrs,18–25,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Poor,N/A (Still Employed),Male,Divorced
339,4,1,1,59,4,20,64,1,2024,0,3,1,,3.29,0,Band 1 – Low,3–5 yrs,55+,Medium (11–25 km),0–2 yrs,High Risk,Needs Improvement,Very Low,Fair,N/A (Still Employed),Male,Married
340,3,1,2,58,12,31,10,2,2021,3,3,4,,2.362,0,Band 3 – Mid-High,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Medium Risk,Below Average,High,Fair,N/A (Still Employed),Male,Married
341,1,3,2,34,3,19,121,2,2018,6,4,3,,2.538,0,Band 1 – Low,3–5 yrs,26–35,Medium (11–25 km),6–8 yrs,Medium Risk,Below Average,Neutral,Good,N/A (Still Employed),Male,Single
342,1,2,3,43,4,17,27,4,2016,8,5,1,,2.584,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),6–8 yrs,Medium Risk,Good,Very Low,Excellent,N/A (Still Employed),Female,Divorced
343,5,1,3,36,17,14,135,5,2018,6,3,4,,1.878,0,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),6–8 yrs,Low Risk,Outstanding,High,Fair,N/A (Still Employed),Female,Divorced
344,2,1,2,56,11,1,152,2,2011,13,1,4,,3.302,0,Band 2 – Mid-Low,11–20 yrs,55+,Near (≤10 km),12+ yrs,High Risk,Below Average,High,Very Poor,N/A (Still Employed),Male,Married
345,1,1,1,52,14,48,166,5,2012,12,2,5,,2.196,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,Very High,Poor,N/A (Still Employed),Male,Single
346,5,4,3,44,15,41,63,4,2020,4,2,2,,2.882,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Medium Risk,Good,Low,Poor,N/A (Still Employed),Male,Single
347,3,6,1,54,6,37,191,2,2012,12,1,4,,3.324,0,Band 1 – Low,6–10 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Below Average,High,Very Poor,N/A (Still Employed),Female,Married
348,3,4,2,41,9,26,55,3,2015,9,3,3,3.0,2.752,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),9–12 yrs,Medium Risk,Average,Neutral,Fair,Moderate Dissatisfaction,Male,Married
349,5,2,1,32,7,14,19,2,2020,4,2,2,,3.228,0,Band 1 – Low,6–10 yrs,26–35,Medium (11–25 km),3–5 yrs,High Risk,Below Average,Low,Poor,N/A (Still Employed),Male,Divorced
350,3,3,2,57,17,20,117,2,2021,3,1,5,,2.54,0,Band 4 – High,11–20 yrs,55+,Medium (11–25 km),3–5 yrs,Medium Risk,Below Average,Very High,Very Poor,N/A (Still Employed),Male,Single
351,1,2,1,33,2,42,186,5,2019,5,5,1,,2.284,0,Band 1 – Low,0–2 yrs,26–35,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,Very Low,Excellent,N/A (Still Employed),Non-Binary / Other,Single
352,6,6,3,40,15,33,77,1,2015,9,3,1,,3.766,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Very Low,Fair,N/A (Still Employed),Male,Married
353,1,3,1,28,1,3,167,3,2017,7,5,5,,1.506,0,Band 1 – Low,0–2 yrs,26–35,Near (≤10 km),6–8 yrs,Low Risk,Average,Very High,Excellent,N/A (Still Employed),Male,Married
354,2,6,2,52,3,30,107,3,2021,3,4,5,,1.61,0,Band 1 – Low,3–5 yrs,46–55,Far (26–50 km),3–5 yrs,Low Risk,Average,Very High,Good,N/A (Still Employed),Female,Married
355,3,5,1,30,15,40,171,1,2023,1,5,3,,2.28,0,Band 3 – Mid-High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Low Risk,Needs Improvement,Neutral,Excellent,N/A (Still Employed),Male,Single
356,2,1,3,38,13,32,159,3,2022,2,4,2,,2.464,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Average,Low,Good,N/A (Still Employed),Male,Married
357,5,3,3,57,11,4,70,3,2012,12,5,4,5.0,2.058,1,Band 3 – Mid-High,11–20 yrs,55+,Near (≤10 km),9–12 yrs,Low Risk,Average,High,Excellent,Low Dissatisfaction,Female,Single
358,3,1,1,33,13,23,173,5,2014,10,3,4,,2.096,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),9–12 yrs,Low Risk,Outstanding,High,Fair,N/A (Still Employed),Female,Married
359,2,6,2,43,7,1,99,1,2022,2,5,4,,1.952,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,Low Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Male,Single
360,4,3,3,27,13,40,133,4,2022,2,4,1,,2.58,0,Band 3 – Mid-High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Medium Risk,Good,Very Low,Good,N/A (Still Employed),Female,Married
361,4,5,3,36,2,30,145,4,2020,4,4,1,,2.66,0,Band 1 – Low,0–2 yrs,36–45,Far (26–50 km),3–5 yrs,Medium Risk,Good,Very Low,Good,N/A (Still Employed),Female,Single
362,3,3,1,44,1,22,178,4,2014,10,5,3,,2.094,0,Band 1 – Low,0–2 yrs,36–45,Medium (11–25 km),9–12 yrs,Low Risk,Good,Neutral,Excellent,N/A (Still Employed),Female,Divorced
363,2,2,3,36,9,20,56,4,2024,0,1,3,,2.59,0,Band 3 – Mid-High,6–10 yrs,36–45,Medium (11–25 km),0–2 yrs,Medium Risk,Good,Neutral,Very Poor,N/A (Still Employed),Female,Divorced
364,1,4,1,41,4,23,86,3,2016,8,3,3,4.0,2.696,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),6–8 yrs,Medium Risk,Average,Neutral,Fair,Low Dissatisfaction,Female,Single
365,5,1,1,48,5,7,69,3,2011,13,3,5,,2.314,0,Band 1 – Low,3–5 yrs,46–55,Near (≤10 km),12+ yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Male,Divorced
366,6,4,3,43,11,1,84,5,2024,0,3,3,,1.852,0,Band 3 – Mid-High,11–20 yrs,36–45,Near (≤10 km),0–2 yrs,Low Risk,Outstanding,Neutral,Fair,N/A (Still Employed),Female,Divorced
367,1,3,3,45,15,23,181,4,2023,1,3,4,,1.846,0,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,Low Risk,Good,High,Fair,N/A (Still Employed),Male,Divorced
368,1,2,3,38,16,47,134,5,2020,4,4,3,,1.894,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,Neutral,Good,N/A (Still Employed),Female,Single
369,6,3,1,59,15,12,135,3,2017,7,2,3,,2.874,0,Band 3 – Mid-High,11–20 yrs,55+,Medium (11–25 km),6–8 yrs,Medium Risk,Average,Neutral,Poor,N/A (Still Employed),Female,Single
370,6,5,1,40,3,26,171,1,2016,8,4,1,,3.452,0,Band 1 – Low,3–5 yrs,36–45,Far (26–50 km),6–8 yrs,High Risk,Needs Improvement,Very Low,Good,N/A (Still Employed),Female,Divorced
371,2,5,3,51,3,23,110,2,2017,7,4,1,,3.196,0,Band 1 – Low,3–5 yrs,46–55,Medium (11–25 km),6–8 yrs,High Risk,Below Average,Very Low,Good,N/A (Still Employed),Female,Single
372,6,5,3,29,18,1,163,4,2019,5,2,1,2.0,3.152,1,Band 4 – High,11–20 yrs,26–35,Near (≤10 km),3–5 yrs,High Risk,Good,Very Low,Poor,High Dissatisfaction,Male,Divorced
373,4,3,3,52,8,7,101,4,2020,4,5,4,,1.464,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),3–5 yrs,Low Risk,Good,High,Excellent,N/A (Still Employed),Female,Single
374,6,6,2,25,15,28,149,3,2012,12,2,2,,3.456,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,High Risk,Average,Low,Poor,N/A (Still Employed),Male,Single
